Capital;Provincia;Poblacion;Latitude;Longitude;XUTM ETRS89;YUTM ETRS89;Altura (m)
A Coru¤a;A Coru¤a;246.047;43.37012643;-8.39114853;549327.6194;4802098.023;21
Albacete;Albacete;170.475;38.99588053;-1.85574745;599089.9661;4316942.121;681
Alicante / Alacant;Alicante / Alacant;334.418;38.34548705;-0.4831832;719945.5478;4247146.743;5
Almer¡a;Almer¡a;190.013;36.83892362;-2.46413188;547780.0222;4077137.854;16
µvila;µvila;58.245;40.65586958;-4.69771277;356476.5099;4501942.03;1.131
Badajoz;Badajoz;150.376;38.87874339;-6.97099704;676002.2944;4305277.265;182
Barcelona;Barcelona;1.619.337;41.38424664;2.17634927;431133.2564;4581740.767;13
Bilbao;Vizcaya;353.187;43.25721957;-2.92390606;506176.3571;4789382.046;6
Burgos;Burgos;178.574;42.34113004;-3.70419805;441992.3778;4687892.739;859
C ceres;C ceres;94.179;39.47316762;-6.37121092;726122.9523;4372585.621;457
C diz;C diz;125.826;36.52171152;-6.28414575;743177.9155;4045247.849;13
Castell¢n de la Plana / Castell¢ de la Plana;Castell¢n / Castell¢;180.690;39.98640809;-0.03688142;753000.9117;4430454.709;27
Ceuta;Ceuta;80.579;35.88810209;-5.30675127;291786.944;3973995.22;27
Ciudad Real;Ciudad Real;74.345;38.98651781;-3.93131981;419339.3341;4315692.905;625
C¢rdoba;C¢rdoba;328.547;37.87954225;-4.78032455;343430.6718;4193943.956;106
Cuenca;Cuenca;56.189;40.07653762;-2.13152306;574050.5872;4436613.537;997
Girona;Girona;96.236;41.98186075;2.82411899;485429.8147;4647777.206;69
Granada;Granada;239.154;37.17641932;-3.60001883;446736.0152;4114611.964;684
Guadalajara;Guadalajara;83.789;40.63435548;-3.16210273;486291.8478;4498180.971;685
Huelva;Huelva;149.310;37.26004113;-6.95040588;681752.3578;4125688.858;24
Huesca;Huesca;52.347;42.14062739;-0.40842276;714162.4563;4668641.011;483
Ja‚n;Ja‚n;116.790;37.7651913;-3.7903594;430387.3289;4180057.083;570
Las Palmas de Gran Canaria;Las Palmas;383.308;28.09937855;-15.41336841;459392;3108324;6
Le¢n;Le¢n;134.012;42.59912097;-5.56707631;289400.7177;4719493.885;837
Lleida;Lleida;137.387;41.61527355;0.62061934;301756.0344;4609796.528;167
Logro¤o;La Rioja;152.650;42.46644945;-2.44565538;545572.7602;4701716.534;384
Lugo;Lugo;97.635;43.0091282;-7.55817392;617504.3521;4762837.068;452
Madrid;Madrid;3.273.049;40.40841191;-3.68760088;441657.5389;4473315.489;657
M laga;M laga;568.507;36.72034267;-4.41997511;373191.2652;4064789.451;8
Melilla;Melilla;76.034;35.294731;-2.942281;505248;3905730;30
Murcia;Murcia;441.345;37.98436361;-1.1285408;664351.156;4205732.391;42
Ourense;Ourense;108.673;42.33654919;-7.86368375;593610.0865;4687769.206;138
Oviedo;Asturias;225.155;43.36232165;-5.84372206;269573.9336;4804979.179;231
Palencia;Palencia;82.169;42.0078373;-4.53460106;372921.9727;4651785.447;734
Palma;Illes Balears;404.681;39.57114699;2.65181698;470094.0764;4380218.381;24
Pamplona / Iru¤a;Navarra;197.488;42.814102;-1.6451528;610764.5012;4741061.594;450
Pontevedra;Pontevedra;81.981;42.43381442;-8.64799018;528953.786;4698003.983;16
Salamanca;Salamanca;154.462;40.96736822;-5.66538084;275715.3682;4538556.266;798
San Sebasti n / Donostia;Gipuzkoa;185.506;43.31717158;-1.98191785;582554.3591;4796540.34;7
Santa Cruz de Tenerife;Santa Cruz de Tenerife;222.643;28.46285408;-16.24720629;377889;3149155;1
Santander;Cantabria;181.589;43.46297885;-3.80474784;434900.8456;4812544.393;8
Segovia;Segovia;55.748;40.9498703;-4.12524116;405292.9612;4533801.766;1.002
Sevilla;Sevilla;704.198;37.38620512;-5.99251368;235058.6903;4141919.95;11
Soria;Soria;39.838;41.76327912;-2.46624798;544367.5995;4623631.568;1.061
Tarragona;Tarragona;140.184;41.11910287;1.2584219;353791.5075;4553440.298;69
Teruel;Teruel;35.241;40.34412951;-1.10927177;660583.674;4467668.986;915
Toledo;Toledo;82.489;39.85715187;-4.02431421;412382.0803;4412404.634;516
Valencia;Valencia / ValŠncia;809.267;39.47534441;-0.37565717;725733.4023;4372816.095;16
Valladolid;Valladolid;315.522;41.65232777;-4.72334924;356499.4918;4612610.279;690
Vitoria-Gasteiz;µlava;238.247;42.85058789;-2.67275685;526737.5988;4744274.981;539
Zamora;Zamora;65.998;41.49913956;-5.75494831;270050.3784;4597833.322;649
Zaragoza;Zaragoza;675.121;41.65645655;-0.87928652;676578.7253;4613806.709;208
